HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DQB1,03.01,DQB1:03.01,0.634189012542409,1.10602578856372,0.748-1.64,0.755987921921225,0.0606934888859112,0.195310634062366,82,0.339,82,0.317,160,177,100,384,88,430,0.207,0.17,0.327345309381238,501
DPB1,02.02,DPB1:02.02,0.548849457640687,1.1708976723047,0.711-1.93,0.757958501211716,0.0764024714367769,0.247928970577182,43,0.176,40,0.154,201,219,46,442,42,476,0.0943,0.0811,0.165009940357853,503
A,26.02,A:26.02,1,0.536061167824529,0.00904-10.4,0.768824430965887,-0.363884282531989,1.23806826687686,1,0.00415,2,0.00772,240,257,1,481,2,516,0.00207,0.00386,0.006,500
hap,03.02_04.01_08.02,hap:03.02_04.01_08.02,1,1.06628863797946,0.141-8.04,0.769037593411331,0.245693112657222,0.836732510376602,3,0.0123,3,0.0115,241,257,3,485,3,517,0.00615,0.00577,0.0119047619047619,504
A,02.06,A:02.06,1,1.03300916864809,0.54-1.97,0.7714919057914,0.0914328849860766,0.314825542867963,23,0.0954,24,0.0927,218,235,24,458,25,493,0.0498,0.0483,0.094,500
DQA1,01.03,DQA1:01.03,0.742865092567859,0.925029412468449,0.586-1.46,0.772665248423135,-0.0655927739110576,0.227050720057861,49,0.202,56,0.215,193,204,51,433,58,462,0.105,0.112,0.209163346613546,502
B,07.02,B:07.02,0.843061823615835,0.912891494225412,0.377-2.18,0.790657025265964,0.110726939493626,0.417117347905714,12,0.0526,14,0.0574,216,230,12,444,14,474,0.0263,0.0287,0.0550847457627119,472
B,59.01,B:59.01,1,1.07124220021919,0.197-5.82,0.796055261704802,0.187911501131817,0.727055070848763,4,0.0175,4,0.0164,224,240,4,452,4,484,0.00877,0.0082,0.0169491525423729,472
DQA1,05.03,DQA1:05.03,0.716039302018338,1.43872527147964,0.241-9.92,0.804616270091283,0.191825151542479,0.775435665974953,4,0.0165,3,0.0115,238,257,4,480,3,517,0.00826,0.00577,0.0139442231075697,502
hap,03.01_05.03_13.12,hap:03.01_05.03_13.12,0.716948412887453,1.42676457639722,0.239-9.84,0.817096136846632,0.179281244677081,0.775164738727638,4,0.0164,3,0.0115,240,257,4,484,3,517,0.0082,0.00577,0.0138888888888889,504
B,44.03,B:44.03,0.843061823615835,0.912891494225412,0.377-2.18,0.826754838595586,0.0938918677711676,0.428993500377388,12,0.0526,14,0.0574,216,230,13,443,14,474,0.0285,0.0287,0.0550847457627119,472
hap,05.02_01.02_15.01,hap:05.02_01.02_15.01,1,1.06705571136678,0.281-4.05,0.837938712447873,-0.121609026581546,0.59457556738233,6,0.0246,6,0.0231,238,254,7,481,6,514,0.0143,0.0115,0.0238095238095238,504
DPB1,13.01,DPB1:13.01,1,1.01151911213148,0.609-1.68,0.841793254610904,-0.0501642400086492,0.251323568959728,39,0.16,41,0.158,205,218,39,449,42,476,0.0799,0.0811,0.159045725646123,503
DRB1,13.12,DRB1:13.12,0.744285928226007,1.34741734937632,0.286-6.88,0.845727014210901,0.132893483369409,0.682999618217847,5,0.0214,4,0.0159,229,247,5,463,4,498,0.0107,0.00797,0.0185567010309278,485
C,05.01,C:05.01,1,0.711590468759432,0.059-6.27,0.852666092574954,-0.172568751449939,0.929198922467011,2,0.00826,3,0.0116,240,256,2,482,3,515,0.00413,0.00579,0.00998003992015968,501
B,39.01,B:39.01,0.830014308949857,0.887075596776162,0.336-2.29,0.853295340197797,-0.0819881607150922,0.443381846626247,10,0.0439,12,0.0492,218,232,10,446,14,474,0.0219,0.0287,0.0466101694915254,472
B,48.01,B:48.01,1,0.93449808539533,0.283-3,0.866647313981761,-0.0891826599019051,0.53110648683539,7,0.0307,8,0.0328,221,236,7,449,8,480,0.0154,0.0164,0.0317796610169492,472
hap,03.01_05.05_11.01,hap:03.01_05.05_11.01,0.751168025652005,1.1275717143351,0.574-2.22,0.867672510430155,0.0542600434729,0.325660023628779,22,0.0902,21,0.0808,222,239,23,465,21,499,0.0471,0.0404,0.0853174603174603,504
hap,03.02_03.01_04.03,hap:03.02_03.01_04.03,0.697290774766649,0.845110078868788,0.353-1.98,0.872114811900022,-0.0653153780524612,0.405754090005796,12,0.0492,15,0.0577,232,245,12,476,16,504,0.0246,0.0308,0.0535714285714286,504
hap,06.02_01.01_15.02,hap:06.02_01.01_15.02,1,1.06574241162958,0.0135-83.9,0.874920679153861,-0.224552396893642,1.42653255525763,1,0.0041,1,0.00385,243,259,1,487,1,519,0.00205,0.00192,0.00396825396825397,504
hap,02.02_02.01_07.01,hap:02.02_02.01_07.01,0.715295490160051,0.818682826227848,0.368-1.79,0.876470726855069,-0.0586255555582815,0.37714728110066,14,0.0574,18,0.0692,230,242,14,474,19,501,0.0287,0.0365,0.0634920634920635,504
DRB1,04.01,DRB1:04.01,1,1.07309094923813,0.0772-14.9,0.878543747493231,0.154584637840836,1.01157672975989,2,0.00855,2,0.00797,232,249,2,466,2,500,0.00427,0.00398,0.00824742268041237,485
DRB1,04.10,DRB1:04.10,1,0.802311649909182,0.116-4.8,0.87907873423162,-0.118858027948398,0.781255588703322,3,0.0128,4,0.0159,231,247,3,465,4,498,0.00641,0.00797,0.0144329896907217,485
DQB1,02.02,DQB1:02.02,0.715270443878377,0.822445944637279,0.369-1.8,0.883584053022899,-0.0552468940549125,0.377299058693303,14,0.0579,18,0.0695,228,241,14,470,19,499,0.0289,0.0367,0.063872255489022,501
